tingkat setelah parent,parent,similarity
1,tsunami,"[('gempa', 0.6592148542404175), ('earthquake', 0.5841647386550903), ('letusan', 0.5679782629013062), ('bencana', 0.5641166567802429), ('gempabumi', 0.5571192502975464), ('erupsi', 0.546808123588562), ('pascagempa', 0.5399539470672607), ('guncangan', 0.539455235004425), ('diterjang', 0.5238288640975952), ('longsor', 0.5212538242340088)]"
2,abrasi,"[('erosi', 0.8059391379356384), ('pendangkalan', 0.7161354422569275), ('sedimentasi', 0.7131323218345642), ('pengikisan', 0.6927334666252136), ('pengendapan', 0.641020655632019), ('pelapukan', 0.6363174319267273), ('penipisan', 0.6329870820045471), ('kekeringan', 0.6295348405838013), ('rusaknya', 0.6161081790924072), ('longsoran', 0.6081492304801941)]"
2,azab,"[('pedih', 0.7002038359642029), ('durhaka', 0.6464743614196777), ('malapetaka', 0.6414028406143188), ('petaka', 0.614702582359314), ('ditimpa', 0.6123753190040588), ('siksa', 0.595914900302887), ('godaan', 0.595092236995697), ('celaka', 0.5921892523765564), ('sengsara', 0.5917865037918091), ('derita', 0.588373064994812)]"
2,bandang,"[('longsor', 0.5632879734039307), ('banjir', 0.5528611540794373), ('diterjang', 0.5309651494026184), ('meluapnya', 0.5209537148475647), ('jebolnya', 0.5203295350074768), ('wasior', 0.506882905960083), ('tandjoengpoera', 0.5021014213562012), ('tuminanga', 0.4912939667701721), ('mardinding', 0.48607397079467773), ('rawan', 0.48553210496902466)]"
2,berkepanjangan,"[('mereda', 0.6126546263694763), ('ketidakstabilan', 0.5978670120239258), ('kekeringan', 0.594589114189148), ('dilanda', 0.5940969586372375), ('dialaminya', 0.582599937915802), ('diderita', 0.576368510723114), ('ketegangan', 0.5731385946273804), ('kepanikan', 0.5715678334236145), ('pecahnya', 0.5684202313423157), ('timbulnya', 0.5666773319244385)]"
2,campak,"[('difteri', 0.8047789335250854), ('hepatitis', 0.8026509284973145), ('influenza', 0.8003069162368774), ('malaria', 0.7804462909698486), ('polio', 0.7797502279281616), ('beguk', 0.7780009508132935), ('kolera', 0.771070659160614), ('rabies', 0.7701467275619507), ('rubella', 0.7605509161949158), ('disentri', 0.760204553604126)]"
2,celaka,"[('malapetaka', 0.6773481965065002), ('murka', 0.6129774451255798), ('ditimpa', 0.6092875003814697), ('pedih', 0.596843957901001), ('meminumnya', 0.5938374400138855), ('azab', 0.5921893119812012), ('kemalangan', 0.5867210626602173), ('ulah', 0.5835803747177124), ('kesusahan', 0.5776318907737732), ('kesialan', 0.5768648386001587)]"
2,deforestasi,"[('penggundulan', 0.6951282620429993), ('penyusutan', 0.6828290820121765), ('erosi', 0.672062337398529), ('kekeringan', 0.6589246392250061), ('sedimentasi', 0.6470177173614502), ('kelangkaan', 0.6399555802345276), ('eutrofikasi', 0.6394180059432983), ('perambahan', 0.633312463760376), ('penebangan', 0.6205066442489624), ('pembalakan', 0.6137879490852356)]"
2,disentri,"[('tifus', 0.8304261565208435), ('bronkitis', 0.8154094815254211), ('kolera', 0.8120904564857483), ('tuberkulosis', 0.8024823069572449), ('diare', 0.8002358675003052), ('difteri', 0.7999855875968933), ('pilek', 0.7968180775642395), ('pneumonia', 0.7930194735527039), ('leukemia', 0.7782422304153442), ('leukimia', 0.7647481560707092)]"
2,diterjang,"[('terjangan', 0.7277258634567261), ('dihantam', 0.7205878496170044), ('tertimpa', 0.6641443371772766), ('menerjang', 0.6478098630905151), ('tersapu', 0.6426703333854675), ('menerpa', 0.6160560250282288), ('menghantam', 0.6153088212013245), ('dilanda', 0.5836126208305359), ('lantak', 0.5825320482254028), ('terkena', 0.5825174450874329)]"
2,epidemik,"[('epidemi', 0.7651591300964355), ('pandemik', 0.7255408763885498), ('malaria', 0.7232047319412231), ('pandemi', 0.7210900783538818), ('kolera', 0.7093336582183838), ('wabah', 0.6867285966873169), ('influenza', 0.6719147562980652), ('campak', 0.6677861213684082), ('meningitis', 0.6654098033905029), ('infeksi', 0.6420069336891174)]"
2,erosi,"[('sedimentasi', 0.8388288617134094), ('abrasi', 0.8059390783309937), ('pelapukan', 0.763698399066925), ('pendangkalan', 0.7366247177124023), ('pengikisan', 0.736305296421051), ('pengendapan', 0.7151835560798645), ('longsor', 0.6913832426071167), ('kekeringan', 0.6865314245223999), ('penipisan', 0.6795384883880615), ('longsoran', 0.6771848797798157)]"
2,erupsi,"[('letusan', 0.848283052444458), ('letusannya', 0.724053144454956), ('vulkanik', 0.6940224170684814), ('kaldera', 0.6812413334846497), ('vulkanis', 0.6633209586143494), ('kelud', 0.6610314846038818), ('lava', 0.6520867347717285), ('freatik', 0.6471022367477417), ('gunungapi', 0.6420985460281372), ('merapi', 0.6393694281578064)]"
2,gempabumi,"[('susulan', 0.5763283967971802), ('seismik', 0.5700508952140808), ('tsunami', 0.5571192502975464), ('gempa', 0.5556459426879883), ('erupsi', 0.5380969047546387), ('letusan', 0.5370104312896729), ('tektonik', 0.5296908617019653), ('pascagempa', 0.5122830867767334), ('sesar', 0.4952108561992645), ('seismisitas', 0.4932301342487335)]"
2,goncangan,"[('guncangan', 0.6973152756690979), ('kepanikan', 0.64125657081604), ('kekeringan', 0.639862596988678), ('kelumpuhan', 0.6357588171958923), ('getaran', 0.6216486692428589), ('benturan', 0.6148106455802917), ('ketidakstabilan', 0.6141142845153809), ('hiperinflasi', 0.6129908561706543), ('demoralisasi', 0.6051307916641235), ('kemerosotan', 0.6029421091079712)]"
2,guncangan,"[('goncangan', 0.6973153352737427), ('ledakan', 0.6575087904930115), ('getaran', 0.6360946297645569), ('kepanikan', 0.6304478049278259), ('susulan', 0.5873464345932007), ('benturan', 0.5873362421989441), ('hantaman', 0.5830771923065186), ('gempa', 0.5745404958724976), ('longsor', 0.5686192512512207), ('kekeringan', 0.564081072807312)]"
2,hancurnya,"[('kehancuran', 0.713828980922699), ('keruntuhan', 0.7056894302368164), ('runtuhnya', 0.6946634650230408), ('jatuhnya', 0.6658875346183777), ('kejatuhan', 0.6410298347473145), ('rusaknya', 0.6345680356025696), ('melemahnya', 0.610325813293457), ('lepasnya', 0.6051280498504639), ('musnahnya', 0.6013998985290527), ('tergenangnya', 0.5977075695991516)]"
2,imbasnya,"[('imbas', 0.6595327258110046), ('musibah', 0.5617528557777405), ('dampaknya', 0.548597514629364), ('hantaman', 0.48322978615760803), ('guncangan', 0.4822359085083008), ('goncangan', 0.46904873847961426), ('banjir', 0.46572452783584595), ('epidemi', 0.4621157646179199), ('kepanikan', 0.4599010646343231), ('terjangan', 0.4591517448425293)]"
2,insiden,"[('kecelakaan', 0.6471518874168396), ('peristiwa', 0.6417394280433655), ('kerusuhan', 0.6287410259246826), ('musibah', 0.6270906329154968), ('pembantaian', 0.6187449097633362), ('penembakan', 0.6036487817764282), ('bentrokan', 0.5866861343383789), ('tragedi', 0.5830890536308289), ('skandal', 0.5706419944763184), ('kejadian', 0.5645816922187805)]"
2,jatuhnya,"[('kejatuhan', 0.7862520217895508), ('runtuhnya', 0.7589079737663269), ('keruntuhan', 0.6982514262199402), ('hancurnya', 0.6658875346183777), ('meletusnya', 0.6353274583816528), ('kehancuran', 0.6192030906677246), ('kejatuhannya', 0.6135907769203186), ('pecahnya', 0.6118625998497009), ('mundurnya', 0.5988835692405701), ('tumbangnya', 0.5953396558761597)]"
2,jebolnya,"[('tanggul', 0.6768004894256592), ('jebol', 0.6621811985969543), ('longsor', 0.6198211312294006), ('banjir', 0.6081518530845642), ('luapan', 0.6043121218681335), ('meluapnya', 0.5885663628578186), ('pendangkalan', 0.5860394835472107), ('bendungan', 0.5466336607933044), ('rusaknya', 0.5426545739173889), ('lapindo', 0.5363849401473999)]"
2,kebinasaan,"[('malapetaka', 0.6447659730911255), ('kesengsaraan', 0.605512797832489), ('kehancuran', 0.5971681475639343), ('kesusahan', 0.587512195110321), ('siksaan', 0.5828894376754761), ('penderitaan', 0.5608670711517334), ('kutuk', 0.5586672425270081), ('kemalangan', 0.5565489530563354), ('kemurkaan', 0.5446894764900208), ('kemusnahan', 0.5438057780265808)]"
2,kecelakaan,"[('musibah', 0.6779184937477112), ('insiden', 0.6471519470214844), ('kecelakan', 0.6303426623344421), ('tabrakan', 0.5826204419136047), ('ditabrak', 0.5356746912002563), ('tertabrak', 0.524468183517456), ('tragedi', 0.5099839568138123), ('kebakaran', 0.5030372142791748), ('tewas', 0.48684021830558777), ('menabrak', 0.4751129746437073)]"
2,kehancurannya,"[('kehancuran', 0.6807349920272827), ('kejatuhannya', 0.6320913434028625), ('keruntuhannya', 0.6261829137802124), ('kejatuhan', 0.5546751618385315), ('kekacauan', 0.552376389503479), ('kesengsaraan', 0.5511758923530579), ('keruntuhan', 0.5491675734519958), ('hancurnya', 0.5488642454147339), ('tergenangnya', 0.5378145575523376), ('kematiannya', 0.5159542560577393)]"
2,kejadian,"[('peristiwa', 0.7391917109489441), ('kejadiannya', 0.6026721000671387), ('insiden', 0.5645818114280701), ('musibah', 0.563127338886261), ('keanehan', 0.5561517477035522), ('fenomena', 0.512645423412323), ('penampakan', 0.5093764662742615), ('nubuat', 0.4993203580379486), ('tragedi', 0.4959908723831177), ('malapetaka', 0.4957721531391144)]"
2,kejatuhan,"[('jatuhnya', 0.786251962184906), ('keruntuhan', 0.7802825570106506), ('runtuhnya', 0.7551096677780151), ('kehancuran', 0.7262977361679077), ('kejatuhannya', 0.6740553975105286), ('kemunduran', 0.6506252288818359), ('hancurnya', 0.6410297155380249), ('kemerosotan', 0.6350235342979431), ('bangkitnya', 0.612115204334259), ('mundurnya', 0.59629887342453)]"
2,kekacauan,"[('kepanikan', 0.7726375460624695), ('pergolakan', 0.715349018573761), ('ketidakstabilan', 0.6789929866790771), ('kehancuran', 0.6780995726585388), ('perpecahan', 0.6704103350639343), ('gejolak', 0.6687836647033691), ('ketegangan', 0.6655613780021667), ('pertikaian', 0.6627706289291382), ('kegemparan', 0.6558197140693665), ('kebuntuan', 0.6497150659561157)]"
2,kelangkaan,"[('kekeringan', 0.6590107679367065), ('berkurangnya', 0.6456746459007263), ('deforestasi', 0.6399555802345276), ('kontaminasi', 0.6374894380569458), ('kebocoran', 0.6180527806282043), ('pembusukan', 0.617653489112854), ('surplus', 0.6167740821838379), ('pemborosan', 0.6133225560188293), ('terganggunya', 0.6126199960708618), ('ketersediaan', 0.6105743646621704)]"
2,kemacetan,"[('macet', 0.7035316228866577), ('kepanikan', 0.6593631505966187), ('ketidaknyamanan', 0.6068650484085083), ('hambatan', 0.5962266325950623), ('banjir', 0.5943864583969116), ('keterlambatan', 0.5918503999710083), ('penundaan', 0.5779053568840027), ('kekeringan', 0.5729840397834778), ('kebocoran', 0.5458585619926453), ('pelebaran', 0.5431739687919617)]"
2,kemalangan,"[('malapetaka', 0.7452801465988159), ('kesusahan', 0.7444534301757812), ('kesialan', 0.7310048341751099), ('kesukaran', 0.693000853061676), ('siksaan', 0.6821919083595276), ('kesengsaraan', 0.6722709536552429), ('penderitaan', 0.6722590327262878), ('kesedihan', 0.6717824935913086), ('cobaan', 0.6488751173019409), ('kekecewaan', 0.6433719396591187)]"
2,kemunduran,"[('kemerosotan', 0.8074238896369934), ('keruntuhan', 0.7434375286102295), ('stagnasi', 0.6927720904350281), ('kejatuhan', 0.6506252884864807), ('perpecahan', 0.6382869482040405), ('kekacauan', 0.634953498840332), ('kehancuran', 0.6347957849502563), ('ketidakstabilan', 0.6334974765777588), ('disintegrasi', 0.6256607174873352), ('kevakuman', 0.6218205690383911)]"
2,kepanikan,"[('kekacauan', 0.7726375460624695), ('kehebohan', 0.7585684061050415), ('kegemparan', 0.7422058582305908), ('ketidaknyamanan', 0.6903823018074036), ('kebingungan', 0.684822142124176), ('keresahan', 0.6808519959449768), ('kericuhan', 0.6644901037216187), ('keretakan', 0.6595704555511475), ('kemacetan', 0.6593630313873291), ('ketegangan', 0.6583963632583618)]"
2,keruntuhan,"[('runtuhnya', 0.8106696009635925), ('kejatuhan', 0.7802824974060059), ('kemunduran', 0.7434375882148743), ('kemerosotan', 0.7307283878326416), ('kehancuran', 0.7305464148521423), ('hancurnya', 0.7056893706321716), ('jatuhnya', 0.698251485824585), ('kekacauan', 0.6465850472450256), ('perpecahan', 0.640092670917511), ('disintegrasi', 0.6281095743179321)]"
2,kesengsaraan,"[('kesusahan', 0.818268895149231), ('penderitaan', 0.7697930932044983), ('kesukaran', 0.7249044179916382), ('malapetaka', 0.7008013725280762), ('siksaan', 0.6970744132995605), ('kesesakan', 0.6888725161552429), ('kemalangan', 0.6722709536552429), ('pencobaan', 0.6320602893829346), ('cobaan', 0.6311204433441162), ('kehancuran', 0.6285718679428101)]"
2,kesialan,"[('kemalangan', 0.7310048341751099), ('malapetaka', 0.6859089732170105), ('kesusahan', 0.6356915831565857), ('cobaan', 0.6320523619651794), ('keanehan', 0.629958987236023), ('kekecewaan', 0.611562192440033), ('kesukaran', 0.5942856669425964), ('keberuntungan', 0.589577317237854), ('kesengsaraan', 0.5795528292655945), ('siksaan', 0.5790103673934937)]"
2,kesusahan,"[('kesengsaraan', 0.8182689547538757), ('kesukaran', 0.7611631751060486), ('penderitaan', 0.7463522553443909), ('kemalangan', 0.7444535493850708), ('cobaan', 0.7159161567687988), ('siksaan', 0.7045590877532959), ('kesedihan', 0.7022630572319031), ('kesesakan', 0.6831618547439575), ('malapetaka', 0.6824884414672852), ('penderitaannya', 0.6652568578720093)]"
2,kolera,"[('disentri', 0.8120903968811035), ('tifus', 0.7975515127182007), ('malaria', 0.7960994839668274), ('epidemi', 0.7917323708534241), ('terjangkit', 0.7736273407936096), ('pneumonia', 0.7720158696174622), ('campak', 0.7710705399513245), ('tuberkulosis', 0.7708824276924133), ('variola', 0.7695886492729187), ('wabah', 0.7676751613616943)]"
2,ledakan,"[('guncangan', 0.657508909702301), ('letusan', 0.6535496115684509), ('tabrakan', 0.6528869867324829), ('kebakaran', 0.6149957776069641), ('meledak', 0.6073418855667114), ('semburan', 0.6029043197631836), ('peledakan', 0.601405143737793), ('erupsi', 0.5975668430328369), ('kebocoran', 0.5840094685554504), ('kepanikan', 0.573893129825592)]"
2,letusan,"[('erupsi', 0.8482828736305237), ('letusannya', 0.6906764507293701), ('vulkanik', 0.6863712072372437), ('kaldera', 0.6640557646751404), ('ledakan', 0.6535496711730957), ('berapi', 0.6306992769241333), ('gempa', 0.619019627571106), ('tubrukan', 0.6138425469398499), ('vulkanis', 0.6106709241867065), ('glasiasi', 0.6042592525482178)]"
2,longsor,"[('erosi', 0.6913832426071167), ('tertimbun', 0.6722032427787781), ('longsoran', 0.6582555174827576), ('banjir', 0.6445528268814087), ('jebolnya', 0.6198211312294006), ('pengikisan', 0.619621753692627), ('amblas', 0.6102012395858765), ('abrasi', 0.6041375994682312), ('kekeringan', 0.5961258411407471), ('salinisasi', 0.5914780497550964)]"
2,luapan,"[('meluap', 0.7092229723930359), ('genangan', 0.633327305316925), ('pendangkalan', 0.6258935332298279), ('menggenangi', 0.6256611347198486), ('tergenang', 0.6249289512634277), ('banjir', 0.6219334602355957), ('meluapnya', 0.6122610569000244), ('lahar', 0.6099754571914673), ('jebolnya', 0.604312002658844), ('erosi', 0.6040919423103333)]"
2,malaria,"[('kolera', 0.7960994839668274), ('campak', 0.7804462313652039), ('influenza', 0.7778018116950989), ('difteri', 0.7674359083175659), ('tuberkulosis', 0.7657963633537292), ('pneumonia', 0.7544226050376892), ('disentri', 0.753201961517334), ('hepatitis', 0.7508995532989502), ('infeksi', 0.7503213882446289), ('epilepsi', 0.737652063369751)]"
2,mengguncang,"[('melanda', 0.693285346031189), ('diguncang', 0.6386362910270691), ('dilanda', 0.5854159593582153), ('menghantam', 0.513234555721283), ('gempa', 0.506963312625885), ('meluluh', 0.5023525357246399), ('lantakkan', 0.49810081720352173), ('menggemparkan', 0.4900798797607422), ('meletus', 0.489745169878006), ('menerpa', 0.48945969343185425)]"
2,murka,"[('amarah', 0.7309799790382385), ('geram', 0.6978152990341187), ('kemarahannya', 0.6957608461380005), ('marah', 0.6920457482337952), ('ketakutan', 0.6797868609428406), ('malapetaka', 0.6602672338485718), ('kemarahan', 0.6526368260383606), ('cemburu', 0.6507582068443298), ('bernafsu', 0.6480312943458557), ('hasutan', 0.644990861415863)]"
2,pandemi,"[('pandemik', 0.7429599165916443), ('epidemi', 0.7278754711151123), ('epidemik', 0.7210901379585266), ('wabah', 0.7123741507530212), ('influenza', 0.7037246823310852), ('campak', 0.6918870806694031), ('kolera', 0.6869357228279114), ('variola', 0.6658863425254822), ('dengue', 0.6525965332984924), ('sifilis', 0.6413708925247192)]"
2,pandemik,"[('pandemi', 0.7429598569869995), ('epidemik', 0.7255409955978394), ('epidemi', 0.7021048665046692), ('influenza', 0.6932084560394287), ('flu', 0.6769454479217529), ('campak', 0.6633868217468262), ('kolera', 0.6579775214195251), ('malaria', 0.6412361860275269), ('wabah', 0.6397526264190674), ('difteri', 0.6191524863243103)]"
2,pascagempa,"[('tsunami', 0.5399540066719055), ('bencana', 0.5135046243667603), ('gempabumi', 0.5122830867767334), ('terparah', 0.5032827258110046), ('longsor', 0.4961780309677124), ('gempa', 0.4839734137058258), ('bandang', 0.482919842004776), ('mitigasi', 0.47456541657447815), ('musibah', 0.4619576334953308), ('susulan', 0.45937490463256836)]"
2,pemadaman,"[('korsleting', 0.5888500213623047), ('kebocoran', 0.5556970834732056), ('kebakaran', 0.5525127649307251), ('penyalaan', 0.5314277410507202), ('malafungsi', 0.5297735929489136), ('pencairan', 0.5174956917762756), ('evakuasi', 0.5120574235916138), ('melalap', 0.5031054019927979), ('kepanikan', 0.5003417134284973), ('ledakan', 0.49496063590049744)]"
2,penderitaan,"[('kesengsaraan', 0.7697931528091431), ('kesusahan', 0.7463521957397461), ('kesedihan', 0.710703432559967), ('siksaan', 0.7006435990333557), ('pencobaan', 0.6800881624221802), ('ketidakadilan', 0.6794722676277161), ('kesukaran', 0.6734095811843872), ('kebodohan', 0.6730294227600098), ('kemalangan', 0.6722590923309326), ('keputusasaan', 0.6705880165100098)]"
2,penghancuran,"[('penjarahan', 0.7145434021949768), ('pemusnahan', 0.6854979991912842), ('kehancuran', 0.6711426377296448), ('perusakan', 0.6485494375228882), ('pembersihan', 0.6352709531784058), ('pengusiran', 0.619780957698822), ('penyerangan', 0.5827308297157288), ('pengepungan', 0.5814043879508972), ('pembongkaran', 0.5811553001403809), ('pengeboman', 0.5798097848892212)]"
2,pengikisan,"[('erosi', 0.7363053560256958), ('pelapukan', 0.7043368816375732), ('abrasi', 0.6927334666252136), ('pendangkalan', 0.6823076009750366), ('sedimentasi', 0.6773353815078735), ('pengendapan', 0.6755321025848389), ('salinisasi', 0.653434693813324), ('rusaknya', 0.6392565369606018), ('kekeringan', 0.6341558694839478), ('longsor', 0.6196216344833374)]"
2,penyakit,"[('infeksi', 0.7354671955108643), ('tuberkulosis', 0.7172331809997559), ('malaria', 0.6932162046432495), ('epilepsi', 0.6886663436889648), ('sifilis', 0.6886032819747925), ('kolera', 0.6863391995429993), ('epidemi', 0.6798383593559265), ('influenza', 0.6789991855621338), ('campak', 0.6704737544059753), ('komplikasi', 0.6689529418945312)]"
2,sedimentasi,"[('erosi', 0.8388288617134094), ('pengendapan', 0.7906566858291626), ('pendangkalan', 0.7876825332641602), ('pelapukan', 0.7617523074150085), ('abrasi', 0.7131323218345642), ('penguapan', 0.7059094309806824), ('eutrofikasi', 0.7056780457496643), ('sedimen', 0.6808743476867676), ('pengikisan', 0.6773354411125183), ('penyusutan', 0.66900634765625)]"
2,siksaan,"[('kesusahan', 0.7045590877532959), ('penderitaan', 0.7006435990333557), ('kesengsaraan', 0.697074294090271), ('cobaan', 0.6957682371139526), ('kemalangan', 0.6821918487548828), ('malapetaka', 0.6533687710762024), ('penyiksaan', 0.6422693133354187), ('penganiayaan', 0.6392934322357178), ('kesukaran', 0.6272776126861572), ('kesakitan', 0.6186273097991943)]"
2,susulan,"[('guncangan', 0.5873464941978455), ('episenter', 0.5868247151374817), ('gempabumi', 0.576328456401825), ('episentrum', 0.5349981784820557), ('letusan', 0.5239959955215454), ('gempa', 0.5070127248764038), ('richter', 0.4936607778072357), ('vei', 0.48000481724739075), ('tsunami', 0.4768686592578888), ('explosivity', 0.4703075885772705)]"
2,tanggul,"[('bendungan', 0.7159860134124756), ('waduk', 0.7022687792778015), ('selokan', 0.6903707981109619), ('bendung', 0.6799867749214172), ('jebolnya', 0.676800549030304), ('jebol', 0.6468223333358765), ('terowongan', 0.6065553426742554), ('gorong', 0.5887590646743774), ('banjir', 0.5850116014480591), ('parit', 0.5814497470855713)]"
2,tenggelamnya,"[('karam', 0.7145037055015564), ('wijck', 0.671001672744751), ('karamnya', 0.6551351547241211), ('penyerempetan', 0.6436713337898254), ('sewol', 0.6339830160140991), ('tenggelam', 0.6030161380767822), ('pesiarnya', 0.6021820902824402), ('terbakarnya', 0.600519597530365), ('tangker', 0.5831477642059326), ('rms', 0.5655032992362976)]"
2,terbakar,"[('roboh', 0.6758124232292175), ('dibakar', 0.6734706163406372), ('hancur', 0.6724386811256409), ('meledak', 0.6668539047241211), ('menghanguskan', 0.6630858182907104), ('membakar', 0.6371021270751953), ('tertimpa', 0.6076688170433044), ('ambruk', 0.6043166518211365), ('rusak', 0.59646075963974), ('musnah', 0.5942911505699158)]"
2,tragedi,"[('peristiwa', 0.6381639242172241), ('musibah', 0.5997490286827087), ('insiden', 0.5830891728401184), ('pembantaian', 0.5682499408721924), ('kerusuhan', 0.5620079040527344), ('penyanderaan', 0.5373280048370361), ('tragis', 0.5174139142036438), ('kecelakaan', 0.509984016418457), ('tewasnya', 0.5012503862380981), ('kejadian', 0.49599090218544006)]"
2,variola,"[('tifus', 0.7767654657363892), ('kolera', 0.7695886492729187), ('difteri', 0.7524122595787048), ('campak', 0.7509253621101379), ('cacar', 0.7470124959945679), ('gastroenteritis', 0.744210958480835), ('disentri', 0.7402380108833313), ('tipus', 0.7356734871864319), ('zoster', 0.7348259091377258), ('chlamydia', 0.7327581644058228)]"
2,wabah,"[('epidemi', 0.8332653641700745), ('kolera', 0.7676751613616943), ('pandemi', 0.7123740911483765), ('kelaparan', 0.7044284343719482), ('epidemik', 0.6867286562919617), ('malaria', 0.6412423253059387), ('pandemik', 0.6397526264190674), ('penyakit', 0.6352708339691162), ('variola', 0.6150441765785217), ('cacar', 0.6147025227546692)]"
3,amarah,"[('kemarahan', 0.756413996219635), ('kebencian', 0.7375444769859314), ('murka', 0.7309799790382385), ('ketakutan', 0.7143492102622986), ('kecemburuan', 0.7088097929954529), ('kemarahannya', 0.7012209892272949), ('dengki', 0.700579822063446), ('kesedihan', 0.6896426677703857), ('kedengkian', 0.6782523393630981), ('godaan', 0.667343258857727)]"
3,amblas,"[('longsor', 0.610201358795166), ('tertimbun', 0.6062315106391907), ('subsiden', 0.6028080582618713), ('salinisasi', 0.5961059927940369), ('ambles', 0.5823783874511719), ('longsornya', 0.5408567786216736), ('diatome', 0.5257236361503601), ('novaeseelandiae', 0.5228192210197449), ('manupeu', 0.5217008590698242), ('werang', 0.5129082202911377)]"
3,ambruk,"[('roboh', 0.8133309483528137), ('runtuh', 0.7229326963424683), ('tertimpa', 0.6411548852920532), ('hancur', 0.6364011168479919), ('rusak', 0.6332728862762451), ('terjatuh', 0.6109115481376648), ('terbakar', 0.6043165922164917), ('tertimbun', 0.5998661518096924), ('dibongkar', 0.5935230255126953), ('diruntuhkan', 0.5848733186721802)]"
3,bangkitnya,"[('runtuhnya', 0.6487983465194702), ('munculnya', 0.6341584920883179), ('keruntuhan', 0.614474892616272), ('kejatuhan', 0.612115204334259), ('kebangkitan', 0.5818718075752258), ('jatuhnya', 0.5524179935455322), ('memudarnya', 0.5516299605369568), ('menyebarnya', 0.5500425696372986), ('menguatnya', 0.5411097407341003), ('imperialisme', 0.5354388356208801)]"
3,beguk,"[('difteri', 0.7888906598091125), ('rubella', 0.7794069647789001), ('campak', 0.7780009508132935), ('rubela', 0.7554079294204712), ('tetanus', 0.7307989001274109), ('influenza', 0.7240612506866455), ('hepatitis', 0.7219288349151611), ('meningokokus', 0.7205074429512024), ('bakterial', 0.7192847728729248), ('zoster', 0.7169326543807983)]"
